source_file,incident_uuid,file_id,incident_id,location_street,location_city,location_county,location_state,location_zip,location_type,document_id,case_id
b9df7d93b4fd3135e537e96c9ff41666_gpt-4o-mini_20260220.txt,30556857-95ce-4b93-a39b-e4b96cbe1751,b9df7d93b4fd3135e537e96c9ff41666,1,,La Mesa,San Diego County,CA,,Street,2f9d93c219085b7c9feb8d66550bdd25,7ecf009ef789683a1db7fb188ab9ce25
72c18775279681d212c2eb794c88401c_gpt-4o-mini_20260220.txt,c2294b05-b856-4b49-b920-80095e4d83a0,72c18775279681d212c2eb794c88401c,1,SW 98 St and 19 Avenue SW,Seattle,King County,WA,98106,Street,e544f7ffb6c4af06ca90039b8ddd19fc,b49595d81ebd908d5d63ed19b800d277
3222750b5bb90b4df134d1b2d81eb53c_gpt-4o-mini_20260220.txt,9350474f-ded6-4c0e-80e5-0c32510882a6,3222750b5bb90b4df134d1b2d81eb53c,1,College Grove Drive and 54th Street,San Diego,San Diego County,CA,,Sidewalk,864f07ce92d854add11592dd4b34e785,8fdab5949de4e912f0944ed07d9934f3
f6a6abbc945a31fa55ebcaba9c8b8d3c_gpt-4o-mini_20260220.txt,8e585902-1a4a-4b4b-915d-881e2a6d1bdb,f6a6abbc945a31fa55ebcaba9c8b8d3c,1,Glendale DMV,Glendale,Los Angeles,CA,,Business,c969ea36896aa6afc62fe2ade819a0af,c2a42c7063a44fee1f853cbf1d77e52f
2d8485060ee2976d70ac62ac18cce1b2_gpt-4o-mini_20260220.txt,20e30a17-0282-4b1f-8e4b-0ad1d7f63718,2d8485060ee2976d70ac62ac18cce1b2,1,20 Street,National City,San Diego,CA,,Street,47b2c73a953abe9e7421c32c9b979967,ae893f647a66fb34adffa59af9163cf0
28c774a2d37a45d205ba2038f85fbc97_gpt-4o-mini_20260220.txt,7d75881f-e7f5-4555-9514-eab3625636e4,28c774a2d37a45d205ba2038f85fbc97,1,Pensacola and King Street,Honolulu,,HI,,Street,3b201c765cce420019b19340a7892aa2,f154567fd89bd61e440f65b93dcc1327
627633c893cf8759aef57c2a66253db2_gpt-4o-mini_20260220.txt,2d57c391-3a91-49d4-a023-608742697fe7,627633c893cf8759aef57c2a66253db2,1,11300 block of Alethea Drive,Sunland,Los Angeles,CA,,Home,8b683615b0c219f6377945b8ce49ea1b,9b8ff36ca0a8be42cc2be53e4b08a402
9e9f51cf6c6ac20a8f1ebafbcd3c863d_gpt-4o-mini_20260220.txt,0ac90fa0-7311-4cb3-a549-49bea149a7f4,9e9f51cf6c6ac20a8f1ebafbcd3c863d,1,3500 W. Beverly Blvd.,Montebello,Sonoma,CA,90640,Home,514954f5741f843af668dfe0dc8e2654,56c6b204fe28f9a1d33ea12095ffe805
4f920a0896b82c9406880f9ed3ef25f1_gpt-4o-mini_20260220.txt,f59a4564-8888-4acd-8b64-9080b781d66e,4f920a0896b82c9406880f9ed3ef25f1,1,Bryon Street,Vallejo,,CA,,Home,fa34662cb9924cbb1f0a9a5c988a556d,85e07394e05966605e27fceca4e608ee
d3ba37116d330e9952cbefc4f7359885_gpt-4o-mini_20260220.txt,ee25304c-d319-480e-ac2d-a00a31c3e838,d3ba37116d330e9952cbefc4f7359885,1,Pacific Avel.,Long Beach,Orange,CA,90813,Business,ed2ca008e9103c9c23e4b9c028224a77,e37011cabbcf04e8d7d06d1d5adff883
