file_id,document_id,case_id,file_names,order,total_documents
ab92eda4a456b6e480f1d1036e92ff01,213c3be63f10bc942887d96f065d2c7b,b4e47be9f6be5b90b07c20e0bede40aa,akd - 1-20-cv-00004 - 1 - Primary.txt.gz,1,2
a3fdcee296ca333cbb68f9b7a4ed40ba,0a687fa7631b2bef15131a54b2594296,b4e47be9f6be5b90b07c20e0bede40aa,akd - 1-20-cv-00004 - 8 - Primary.txt.gz,2,2
a2ef4fe7219a3c0d85d898e9bced09dd,8ffbd2b6ed0a9bff10ff4641423b01da,872110c7770b1b2e2ddad4a00020c75f,akd - 1-21-cv-00012 - 1 - 1.txt.gz,1,1
ff6ea58b9f882fef8d43a9c24e32b62c,bf68bc2bb4f5c7f1834868024351c1dc,32bfa91cef6da1f086a8d8b16e5188d2,akd - 1-22-cv-00088 - 1 - 1.txt.gz,1,1
45816c5ea1efbead4d69538aef2544c7,70e40386fab3e28b6af1cbed3a90a9f3,21010013805d6d4e4cd883d5023d6a5d,akd - 1-23-cv-00013 - 1 - Primary.txt.gz,1,1
5dc078e5116b19326dfb7f37e1c769f0,d5ee8222adf971a237830fe06fa27f0a,5e24ba7839a6307ec707493ebab708b2,akd - 2-22-cv-00005 - 1 - 1.txt.gz,1,1
053ef89762290b725b4d1a1ede68c5d4,28fc41fcf413b2cd4477d60c12f3da75,58033f754560b4b9b86eaacae605fd2a,akd - 3-15-cv-00013 - 1 - Primary.txt.gz,1,1
92c593f35cc6ad69c991a368921a722f,91538d8045a88ba22f3e0e88b452d027,b457085fac8024a040be1c5b08e7fccc,akd - 3-15-cv-00254 - 1 - Primary.txt.gz,1,2
128033e50a236db9b9d428e6cb4d2530,5a6639fe3231ab955c1f24f92ac39f50,b457085fac8024a040be1c5b08e7fccc,akd - 3-15-cv-00254 - 10 - Primary.txt.gz,2,2
61d88ed8b7e631005fba8fd423fa3f9c,f900b8577a0e118c2600f87af89d14bf,d8d1db797bdc49731e6017c8259647ff,akd - 3-16-cv-00135 - 1 - 1.txt.gz,1,1
40b03f26e47a0d6ddec418828d1b9842,8dc564b1d1304570f74ae9adee3a4264,c9939aeae0331c3d3b7eca5299d73c59,akd - 3-16-cv-00154 - 1 - 1.txt.gz,1,1
d923d08a3a92fef9d2bc79388cb86756,6f7dd9e69fb9cf7d497a974b0966fa88,bbaa534b6ecee0095cf896ac3005fa75,akd - 3-17-cv-00002 - 1 - 1.txt.gz,1,1
ca7d6948da14b1404847fe44a2549125,c46ae318cc2e0b0b0df0565ecc61a777,e15eadb8a741b3df913f154490cc1a35,akd - 3-17-cv-00003 - 1 - 1.txt.gz,1,2
